CoinName,Interval,Date,Price,Type,Signal
BTCUSDT,15m,2023-05-29 15:00:00,27949.7,HH,1
BTCUSDT,1h,2023-05-29 15:00:00,27949.7,HH,1
BTCUSDT,1d,2023-05-29 15:00:00,27949.7,HH,1
BTCUSDT,4h,2023-05-29 15:00:00,27949.7,HH,1
ETHUSDT,4h,2023-05-25 03:00:00,1761.41,LL,1
FTMUSDT,15m,2023-05-25 03:00:00,0.3179,LL,1
FTMUSDT,1d,2023-05-25 03:00:00,0.3179,LL,1
ETHUSDT,1h,2023-05-25 03:00:00,1761.41,LL,1
FTMUSDT,4h,2023-05-25 03:00:00,0.3179,LL,1
FTMUSDT,1h,2023-05-25 03:00:00,0.3179,LL,1
ETHUSDT,1d,2023-05-25 03:00:00,1761.41,LL,1
ETHUSDT,15m,2023-05-25 03:00:00,1761.41,LL,1
BNBUSDT,1d,2023-05-23 07:00:00,315.4,HH,1
BNBUSDT,15m,2023-05-23 07:00:00,315.4,HH,1
BNBUSDT,4h,2023-05-23 07:00:00,315.4,HH,1
BNBUSDT,1h,2023-05-23 07:00:00,315.4,HH,1
XRPUSDT,15m,2023-05-19 15:00:00,0.4755,HH,1
XRPUSDT,4h,2023-05-19 15:00:00,0.4755,HH,1
XRPUSDT,1d,2023-05-19 15:00:00,0.4755,HH,1
XRPUSDT,1h,2023-05-19 15:00:00,0.4755,HH,1
MATICUSDT,4h,2023-05-17 23:00:00,0.9017,HH,1
MATICUSDT,1d,2023-05-17 23:00:00,0.9017,HH,1
MATICUSDT,1h,2023-05-17 23:00:00,0.9017,HH,1
MATICUSDT,15m,2023-05-17 23:00:00,0.9017,HH,1
AVAXUSDT,4h,2023-05-12 19:00:00,14.52,LL,1
AVAXUSDT,1h,2023-05-12 19:00:00,14.52,LL,1
AVAXUSDT,1d,2023-05-12 19:00:00,14.52,LL,1
AVAXUSDT,15m,2023-05-12 19:00:00,14.52,LL,1
SOLUSDT,4h,2023-05-11 19:00:00,19.69,LL,1
SOLUSDT,15m,2023-05-11 19:00:00,19.69,LL,1
SOLUSDT,1h,2023-05-11 19:00:00,19.69,LL,1
SOLUSDT,1d,2023-05-11 19:00:00,19.69,LL,1
